Et, CCONJ O
vii, NUM B-OBJECT
ciphos, NOUN I-OBJECT
argenteos, NOUN I-OBJECT

Item, ADV O
x, NUM O
duodenas, NUM O
quocleariorum, ADJ O
argenteorum, NOUN O

Item, ADV O
quendam, DET O
saphirum, NOUN O
cum, ADP O
virga, NOUN O
aurea, NOUN O

Item, ADV O
unum, NUM B-OBJECT
smaragdum, NOUN I-OBJECT
cum, ADP I-OBJECT
virga, NOUN I-OBJECT
aurea, NOUN I-OBJECT

Item, ADV O
quoddam, VERB O
lignum, NOUN O
sistentem, VERB O
infra, ADP O
portum, NOUN O
Massilie, ADJ O
vocatum, VERB O
Sanctum, ADJ O
Anthonium, NOUN O
cum, ADP O
arboribus, NOUN O
duobus, NUM O
duabus, NUM O
antenis, NOUN O
et, CCONJ O
duobus, NUM O
timonis, NOUN O
et, CCONJ O
cum, ADP O
quinque, NUM O
ferris, NOUN O
et, CCONJ O
duobus, NUM B-OBJECT
restis, NOUN I-OBJECT

Item, ADV O
unam, NUM O
botam, ADJ O

Item, ADV O
unum, NUM O
carratellum, VERB O

Item, ADV O
duas, NUM O
balistas, NOUN O

Item, ADV O
duo, NUM O
calegni, NOUN O

Item, ADV O
quodam, DET O
cassia, PROPN O
fuste, NOUN O
cum, ADP O
brachie, NOUN O
et, CCONJ O
ponderibus, NOUN O
lapideis, ADJ O
ad, ADP O
ponderandum, VERB O
farinam, NOUN O

Item, ADV O
unum, NUM O
scrineum, ADJ O
barucellandi, VERB O
farinam, NOUN O

Item, ADV O
unum, NUM O
armarium, ADJ O

Itum, NOUN O
una, NUM O
tabuleta, ADJ O
comedendi, VERB O
cum, ADP O
tabulonis, NOUN O

Item, ADV O
mantellum, NOUN O
unum, NUM B-OBJECT
rubeum, ADJ I-OBJECT

Item, ADV O
gardacossium, ADJ O
franseum, VERB O
mulierem, NOUN O
panni, NOUN O
de, ADP O
rubeo, NOUN O
positum, VERB O
in, ADP O
pignore, NOUN O
pro, ADP O
uno, NUM O
floreno, NOUN O
pro, ADP O
exequiis, NOUN O
expendito, VERB O

Item, ADV O
unum, NUM O
canestellum, ADJ O

Primo, ADV O
viii, NUM O
cartariate, ADV O
vinee, VERB O
et, CCONJ O
terre, VERB O
apud, ADP O
Fontem, DET O
Scurum, NOUN O
confrontate, VERB O
cum, ADP O
vinea, NOUN O
Petri, NOUN O
Aycardi, NOUN O
et, CCONJ O
accapitis, NOUN O
Martinentorum, ADJ O

Item, ADV O
primo, ADV O
dixit, VERB O
dicta, VERB O
tutrix, NOUN O
se, PRON O
de, ADP O
dictis, VERB O
bonis, NOUN O
invenisse, VERB O
videlicet, VERB O
quoddam, DET O
ospicium, NOUN O
situm, NOUN O
in, ADP O
carreria, NOUN O
Sancti, ADJ O
Salvatoris, NOUN O
iuxta, ADP O
ospicium, NOUN O
domum, NOUN O
Guillelmi, PROPN O
Albi, ADJ O
et, CCONJ O
iuxta, ADP O
cantonum, NOUN O
et, CCONJ O
iuxta, ADP O
viridarium, NOUN O
subditum, VERB O
domino, NOUN O
dominarum, NOUN O
monialium, ADJ O
Sancti, ADJ O
Salvatoris, NOUN O
seu, CCONJ O
aliorum, DET O
dominorum, NOUN O
ad, ADP O
quos, PRON O
spectabit, VERB O
ad, ADP O
certum, ADJ O
censum, NOUN O

Item, ADV O
in, ADP O
porticu, NOUN O
dicti, VERB O
ospici, VERB O

Unam, NUM O
bredolam, ADJ O

Item, ADV O
unam, NUM O
botam, ADJ O
vinaygrina, ADJ O

Item, ADV O
unam, NUM O
cacxiam, NOUN O
de, ADP O
sappo, NOUN O
cum, ADP O
scripturis, NOUN O
operatorii, ADJ O
et, CCONJ O
una, NUM O
bassina, NOUN O
parva, ADJ O
ad, ADP O
tenendum, VERB O
pecuniam, NOUN O
ac, CCONJ O
una, NUM O
cayseta, ADJ O
corredissa, VERB O

Item, ADV O
unum, NUM O
scannum, NOUN O
de, ADP O
duobus, NUM O
meianis, ADJ O
in, ADP O
quorum, PRON O
uno, NUM O
meiano, ADJ O
est, AUX O
circa, ADP O
unam, NUM O
quarteriam, NOUN O
fabarum, NOUN O
cum, ADP O
uno, NUM O
coffino, NOUN O
uno, NUM O
verubo, NOUN O
et, CCONJ O
una, NUM O
mappa, NOUN O
mastre, ADV O

Et, CCONJ O
in, ADP O
alio, DET O
meiano, ADJ O
sacqum, NOUN O
unum, NUM O
et, CCONJ O
potum, NOUN O
unum, NUM O
terre, VERB O
ad, ADP O
tenendum, VERB O
mel, NOUN O
et, CCONJ O
amforam, NOUN O
et, CCONJ O
jarretam, ADJ O
ad, ADP O
tenendum, VERB O
oleum, NOUN O

Item, ADV O
aliud, DET O
scannum, NOUN O
cum, ADP O
duobus, NUM O
meianis, ADJ O
in, ADP O
quorum, PRON O
uno, NUM O
meiano, ADJ O
sunt, AUX O
scutelle, ADV O
et, CCONJ O
cissoria, ADJ O
de, ADP O
boieza, NOUN O
50, NUM O
vel, CCONJ O
circa, ADP O

Et, CCONJ O
primo, ADV O
quoddam, DET O
legendarium, ADJ O
quod, PRON O
incipit, VERB O
in, ADP O
sui, DET O
principio, NOUN O
visio, NOUN O
ysayee, VERB O
et, CCONJ O
finit, VERB O
in, ADP O
eodem, DET O
In, ADP O
natale, ADJ O
sancte, ADV O
agathe, NOUN O

Item, ADV O
unum, NUM O
legendarium, ADJ O
et, CCONJ O
responserium, ADJ O
in, ADP O
uno, NUM O
et, CCONJ O
eodem, DET O
volumine, NOUN O
quod, SCONJ O
incipit, VERB O
Benedictus, VERB O
Deus, NOUN O
et, CCONJ O
Patri, NOUN O
domini, NOUN O
nostri, DET O
Jhesu, VERB O
Christi, ADJ O
et, CCONJ O
fini, NOUN O
manifestavit, VERB O
se, PRON O
Jhesus, NOUN O
etc, X O
postibus, NOUN O
computum, ADJ O

Item, ADV O
unum, NUM O
responsorium, ADJ O
et, CCONJ O
legenderium, VERB O
quod, SCONJ O
incipuit, VERB O
post, ADP O
istas, DET O
infernalium, ADJ O
et, CCONJ O
mortalium, ADJ O
voces, NOUN O
et, CCONJ O
fini, NOUN O
in, ADP O
illo, DET O
tempore, NOUN O
eggressus, VERB O
Jhesus, NOUN O
perambulabat, VERB O
in, ADP O
Gerico, NOUN O

Item, ADV O
textum, NOUN O
evangelii, NOUN O
et, CCONJ O
apostolurum, NOUN O
quod, PRON O
incipit, VERB O
hec, DET O
dixit, VERB O
dominus, NOUN O
propter, ADP O
Sion, PROPN O
non, PART O
tace, VERB O
bunt, VERB O
et, CCONJ O
finit, VERB O
in, ADP O
illo, DET O
tempore, NOUN O
dixit, VERB O
dictus, VERB O
discipulis, NOUN O
suis, DET O
nemo, PRON O
potest, VERB O
venire, VERB O
ad, ADP O
me, PRON O
etc, X O

Item, ADV O
quoddam, DET O
psalterium, NOUN O
quod, PRON O
incipit, VERB O
beatus, ADJ O
vir, NOUN O
cum, ADP O
kalendario, NOUN O
ante, ADP O
cum, ADP O
iis, PRON O
notatis, NOUN O
et, CCONJ O
post, ADP O
colletarium, ADJ O
quod, SCONJ O
incipt, NOUN O
dixit, VERB O
in, ADP O
novissimiis, ADJ O
et, CCONJ O
finit, VERB O
six, NOUN O
ministrat, VERB O

Item, ADV O
unum, NUM O
synodale, ADJ O
quod, PRON O
incipit, VERB O
quoma, VERB O
et, CCONJ O
finit, VERB O
penitus, ADV O
liberavit, VERB O
cum, ADP O
aliquibus, DET O
capitulis, ADJ O
et, CCONJ O
post, ADP O
officium, NOUN O
eucaristie, NOUN O
quod, SCONJ O
finit, VERB O
quotienscumque, ADJ O

Item, ADV O
unum, NUM O
colletanum, ADJ O
quod, PRON O
incipit, VERB O
dilectissimii, ADV O
tum, CCONJ O
kalendario, NOUN O
ante, ADP O
et, CCONJ O
fini, NOUN O
tibi, PRON O
filii, NOUN O
tui, DET O

Primo, ADV O
Petro, PROPN O
Folcardi, VERB O
macellario, ADV O
in, ADP O
quatuor, NUM O
florenos, NOUN O
auri, NOUN O
ipsi, DET O
Johanni, NOUN O
Casse, VERB O
mutuatos, VERB O

Item, ADV O
domine, NOUN O
Beatrici, NOUN O
Beroarde, ADV O
moniali, ADJ O
santi, NOUN O
Salvatoris, NOUN O
in, ADP O
decem, NUM O
scutis, NOUN O
auri, NOUN O
mutuatis, VERB O

Item, ADV O
domine, NOUN O
Rixande, VERB O
Martine, VERB O
moniali, ADJ O
sancti, ADJ O
Poncii, NOUN O
in, ADP O
quatuor, NUM O
florinis, NOUN O
auri, NOUN O
mutuatis, VERB O

Item, ADV O
domine, NOUN O
Katherine, ADV O
Martine, VERB O
moniali, ADJ O
sancti, ADJ O
Poncii, NOUN O
in, ADP O
quatuor, NUM O
florinos, NOUN O
auri, NOUN O
mutuatis, VERB O
supra, ADP O
uno, NUM O
pomo, NOUN O
ensis, NOUN O
cristalli, ADJ O
una, NUM O
parva, ADJ O
zona, NOUN O
argenti, NOUN O
et, CCONJ O
duabus, NUM O
virgis, NOUN O
argenti, NOUN O

Item, ADV O
tenetur, VERB O
Margarite, ADV O
de, ADP O
Favassio, NOUN O
in, ADP O
quatuor, NUM O
florenos, NOUN O
auri, NOUN O
mutuatis, VERB O
supra, ADP O
uno, NUM O
annulo, NOUN O
auri, NOUN O
cum, ADP O
uno, NUM O
esmeralde, NOUN O
et, CCONJ O
quatuor, NUM B-OBJECT
perlis, NOUN I-OBJECT
grossis, ADJ I-OBJECT

Item, ADV O
domine, NOUN O
Marie, NOUN O
Ricavi, NOUN O
moniali, ADJ O
sancti, ADJ O
Salvatoris, NOUN O
in, ADP O
duobus, NUM O
florenis, NOUN O
auri, NOUN O
mutuatis, VERB O
supra, ADP O
uno, NUM O
annulo, NOUN O
auri, NOUN O
cum, ADP O
saffiro, NOUN O

Item, ADV O
Guilhelmo, NOUN O
Giraudi, VERB O
in, ADP O
florenis, NOUN O
sexdecim, NUM O
mutuatis, VERB O
supra, ADP O
duobus, NUM O
annulis, NOUN O
auri, NOUN O
cum, ADP O
lapidibus, NOUN O
safili, ADJ O
uno, NUM O
et, CCONJ O
alio, DET O
balaysio, NOUN O

Item, ADV O
Anthonio, NOUN O
de, ADP O
Sarda, NOUN O
in, ADP O
florenis, NOUN O
duodecim, NUM O
mutuatis, VERB O
supra, ADP O
tribus, NUM O
cordulis, NOUN O
perlarum, NOUN O
grossis, ADJ O
decem, NUM O
et, CCONJ O
octo, NUM O
operibus, NOUN O
cappelli, NOUN O
perlarum, NOUN O
et, CCONJ O
uno, NUM B-OBJECT
annulo, NOUN I-OBJECT
